Time(s),Bus Voltage(V),Shunt Voltage(mV),Current(mA),Power(mW)
320,5.544,1.06,107.0,580.0
321,5.544,1.05,105.0,580.0
322,5.544,1.03,105.0,580.0
323,5.544,1.03,105.0,580.0
324,5.54,1.04,105.0,580.0
325,5.544,1.05,101.0,560.0
326,5.54,1.07,106.0,580.0
327,5.544,1.04,104.0,580.0
328,5.54,1.04,101.0,560.0
329,5.54,1.08,104.0,580.0
330,5.54,1.05,104.0,580.0
331,5.544,1.04,102.0,560.0
332,5.544,1.03,105.0,580.0
333,5.54,1.04,103.0,560.0
334,5.54,1.01,103.0,560.0
335,5.54,1.02,108.0,580.0
336,5.544,1.04,105.0,580.0
337,5.54,1.09,104.0,580.0
338,5.54,1.02,103.0,560.0
339,5.54,1.04,102.0,560.0
340,5.54,1.07,102.0,560.0
341,5.54,1.02,105.0,580.0
342,5.54,1.04,104.0,580.0
343,5.54,1.04,106.0,580.0
344,5.54,1.04,101.0,560.0
345,5.54,1.05,108.0,580.0
346,5.544,1.04,102.0,560.0
347,5.54,1.02,103.0,560.0
348,5.54,1.06,104.0,580.0
349,5.54,1.06,106.0,580.0
350,5.54,1.04,101.0,560.0
351,5.54,1.03,105.0,580.0
352,5.54,1.06,105.0,580.0
353,5.54,1.01,106.0,580.0
354,5.54,1.01,101.0,560.0
355,5.54,1.04,102.0,560.0
356,5.54,1.05,105.0,580.0
357,5.54,1.05,102.0,560.0
358,5.54,1.08,102.0,560.0
359,5.54,1.06,103.0,560.0
360,5.544,1.05,104.0,580.0
361,5.536,1.0,104.0,580.0
362,5.54,1.05,102.0,560.0
363,5.54,1.03,100.0,560.0
364,5.536,1.08,106.0,580.0
365,5.536,1.06,103.0,560.0
366,5.536,1.06,103.0,560.0
367,5.536,1.03,103.0,560.0
368,5.536,1.06,102.0,560.0
369,5.54,1.0,104.0,580.0
370,5.54,1.03,102.0,560.0
371,5.54,1.04,105.0,580.0
372,5.536,1.03,106.0,580.0
373,5.536,0.99,102.0,560.0
374,5.536,1.06,104.0,580.0
375,5.536,1.05,106.0,580.0
376,5.536,1.01,102.0,560.0
377,5.536,1.0,104.0,580.0
378,5.54,1.04,102.0,560.0
379,5.536,1.03,102.0,560.0
380,5.536,1.07,102.0,560.0
381,5.536,1.03,99.0,560.0
382,5.536,1.06,103.0,560.0
383,5.536,1.05,105.0,580.0
384,5.536,1.02,104.0,580.0
385,5.54,1.04,99.0,560.0
386,5.536,1.02,106.0,580.0
387,5.536,1.05,104.0,580.0
388,5.536,1.08,103.0,560.0
389,5.536,1.05,102.0,560.0
390,5.536,1.03,103.0,560.0
391,5.532,1.05,106.0,580.0
392,5.532,1.08,103.0,560.0
393,5.536,1.04,104.0,580.0
394,5.532,1.03,102.0,560.0
395,5.536,1.03,102.0,560.0
396,5.532,1.05,102.0,560.0
397,5.532,1.06,105.0,580.0
398,5.536,1.05,99.0,560.0
399,5.532,1.02,104.0,580.0
400,5.536,1.05,105.0,580.0
401,5.536,1.05,103.0,560.0
402,5.536,1.01,102.0,560.0
403,5.536,1.05,105.0,580.0
404,5.536,1.03,106.0,580.0
405,5.536,1.04,103.0,560.0
407,5.536,0.99,104.0,580.0
408,5.532,1.04,104.0,580.0
409,5.532,1.03,102.0,560.0
410,5.532,1.05,106.0,580.0
411,5.532,1.04,105.0,580.0
412,5.532,1.06,102.0,560.0
413,5.532,1.08,101.0,560.0
414,5.532,1.02,100.0,560.0
415,5.532,1.05,104.0,580.0
416,5.532,1.03,106.0,580.0
417,5.532,1.01,104.0,580.0
418,5.528,1.02,105.0,580.0
419,5.536,1.04,108.0,580.0
420,5.536,1.0,104.0,580.0
421,5.532,1.07,102.0,560.0
422,5.532,1.04,102.0,560.0
423,5.532,1.04,104.0,580.0
424,5.532,1.06,103.0,560.0
425,5.532,1.01,105.0,580.0
426,5.532,1.03,106.0,580.0
427,5.532,1.05,105.0,580.0
428,5.528,1.03,104.0,580.0
429,5.532,1.06,105.0,580.0
430,5.528,1.02,102.0,560.0
431,5.532,1.01,102.0,560.0
432,5.528,1.05,103.0,560.0
433,5.532,1.02,104.0,580.0
434,5.532,1.04,102.0,560.0
435,5.532,1.02,106.0,580.0
436,5.536,1.04,103.0,560.0
437,5.532,1.0,106.0,580.0
438,5.532,1.04,103.0,560.0
439,5.532,1.0,104.0,580.0
440,5.532,1.08,103.0,560.0
441,5.528,1.03,104.0,580.0
442,5.532,1.05,101.0,560.0
443,5.528,1.05,106.0,580.0
444,5.532,1.03,105.0,580.0
445,5.532,1.04,103.0,560.0
446,5.532,1.02,105.0,580.0
447,5.532,1.0,100.0,560.0
448,5.528,1.06,103.0,560.0
449,5.528,1.05,103.0,560.0
450,5.528,1.03,104.0,580.0
451,5.528,1.04,102.0,560.0
452,5.532,1.05,100.0,560.0
453,5.528,1.03,102.0,560.0
454,5.528,1.04,101.0,560.0
455,5.528,1.01,105.0,580.0
456,5.528,1.04,104.0,580.0
457,5.528,1.03,102.0,560.0
458,5.528,1.06,103.0,560.0
459,5.524,1.02,103.0,560.0
460,5.528,1.03,103.0,560.0
461,5.528,1.05,105.0,580.0
462,5.528,1.02,105.0,580.0
463,5.524,1.05,102.0,560.0
464,5.524,1.03,106.0,580.0
465,5.528,1.0,104.0,580.0
466,5.528,1.01,105.0,580.0
467,5.528,1.04,102.0,560.0
468,5.528,1.04,103.0,560.0
469,5.524,1.07,101.0,560.0
470,5.528,1.07,102.0,560.0
471,5.528,1.01,102.0,560.0
472,5.524,1.04,102.0,560.0
473,5.528,1.0,102.0,560.0
474,5.524,1.04,104.0,580.0
475,5.528,1.05,98.0,560.0
476,5.528,1.01,103.0,560.0
477,5.524,1.01,102.0,560.0
478,5.524,1.04,106.0,580.0
479,5.524,1.01,102.0,560.0
480,5.524,1.02,102.0,560.0
481,5.528,1.05,103.0,560.0
482,5.524,1.04,102.0,560.0
483,5.524,1.05,101.0,560.0
484,5.528,1.01,101.0,560.0
485,5.524,1.04,100.0,560.0
486,5.524,1.04,106.0,580.0
487,5.524,1.03,105.0,580.0
488,5.524,1.05,107.0,580.0
489,5.524,1.03,106.0,580.0
490,5.524,1.02,106.0,580.0
491,5.524,1.03,103.0,560.0
492,5.528,1.03,103.0,560.0
493,5.52,1.07,103.0,560.0
494,5.524,1.06,108.0,580.0
495,5.524,1.04,102.0,560.0
496,5.524,1.06,105.0,580.0
497,5.524,1.02,105.0,580.0
498,5.524,1.04,101.0,560.0
499,5.52,1.04,104.0,580.0
500,5.524,1.02,105.0,580.0
501,5.524,1.01,101.0,560.0
502,5.52,1.07,104.0,580.0
503,5.524,1.01,104.0,580.0
504,5.52,1.07,103.0,560.0
505,5.524,1.02,103.0,560.0
506,5.524,1.04,102.0,560.0
507,5.524,1.01,104.0,580.0
508,5.524,1.05,101.0,560.0
509,5.524,0.99,104.0,580.0
510,5.52,1.06,106.0,580.0
511,5.524,1.03,101.0,560.0
512,5.52,1.04,102.0,560.0
513,5.524,1.02,102.0,560.0
514,5.52,1.02,103.0,560.0
515,5.52,1.01,100.0,560.0
516,5.524,1.01,105.0,580.0
517,5.52,1.02,103.0,560.0
518,5.524,1.06,103.0,560.0
519,5.52,1.02,102.0,560.0
520,5.524,1.04,101.0,560.0
521,5.52,1.08,104.0,580.0
522,5.52,1.04,102.0,560.0
523,5.52,1.03,108.0,580.0
524,5.52,1.04,104.0,580.0
525,5.524,1.02,103.0,560.0
526,5.524,1.05,104.0,580.0
527,5.524,1.02,109.0,580.0
528,5.516,1.06,102.0,560.0
529,5.516,1.04,103.0,560.0
530,5.52,1.02,103.0,560.0
531,5.516,1.02,102.0,560.0
532,5.52,1.05,104.0,580.0
533,5.52,1.04,101.0,560.0
534,5.52,1.06,103.0,560.0
535,5.52,1.03,102.0,560.0
536,5.52,1.02,104.0,580.0
537,5.52,1.05,104.0,580.0
538,5.52,1.04,106.0,580.0
539,5.52,1.04,105.0,580.0
540,5.52,1.04,103.0,560.0
541,5.52,1.03,102.0,560.0
542,5.52,1.03,104.0,580.0
543,5.516,1.04,102.0,560.0
544,5.52,1.0,107.0,580.0
545,5.52,1.04,104.0,580.0
546,5.516,1.05,104.0,580.0
547,5.52,1.03,103.0,560.0
548,5.52,1.02,102.0,560.0
549,5.524,1.02,102.0,560.0
550,5.52,1.05,105.0,580.0
551,5.52,1.02,101.0,560.0
552,5.52,1.01,102.0,560.0
553,5.516,1.03,106.0,580.0
554,5.52,1.01,100.0,560.0
555,5.516,1.06,102.0,560.0
556,5.516,1.03,106.0,580.0
557,5.516,1.0,104.0,580.0
558,5.52,1.04,104.0,580.0
559,5.52,1.0,101.0,560.0
560,5.52,1.02,105.0,580.0
561,5.516,1.05,103.0,560.0
562,5.516,1.03,104.0,580.0
563,5.516,1.03,102.0,560.0
564,5.516,1.03,107.0,580.0
565,5.516,1.07,103.0,560.0
566,5.52,1.02,104.0,580.0
567,5.516,1.04,103.0,560.0
568,5.516,1.05,104.0,580.0
569,5.516,1.06,104.0,580.0
570,5.516,1.02,104.0,580.0
571,5.516,1.05,102.0,560.0
572,5.516,1.05,105.0,580.0
573,5.516,1.02,100.0,560.0
574,5.516,1.02,106.0,580.0
575,5.52,1.01,99.0,560.0
576,5.516,1.04,102.0,560.0
578,5.516,1.04,101.0,560.0
579,5.512,1.01,103.0,560.0
580,5.516,1.04,103.0,560.0
581,5.516,1.06,106.0,580.0
582,5.516,1.0,102.0,560.0
583,5.516,1.02,99.0,560.0
584,5.516,1.05,101.0,560.0
585,5.512,1.03,103.0,560.0
586,5.516,1.06,102.0,560.0
587,5.512,1.05,104.0,580.0
588,5.516,1.03,104.0,580.0
589,5.516,1.03,107.0,580.0
590,5.516,1.01,102.0,560.0
591,5.516,1.01,104.0,560.0
592,5.516,1.0,101.0,560.0
593,5.512,1.0,106.0,580.0
594,5.516,1.05,101.0,560.0
595,5.516,1.02,107.0,580.0
596,5.516,1.04,104.0,580.0
597,5.512,1.04,103.0,560.0
598,5.516,1.03,103.0,560.0
599,5.512,1.04,102.0,560.0
600,5.512,1.02,105.0,580.0
601,5.512,1.03,102.0,560.0
602,5.516,1.03,107.0,580.0
603,5.516,1.03,103.0,560.0
604,5.512,1.02,100.0,560.0
605,5.512,1.09,100.0,560.0
606,5.516,1.0,102.0,560.0
607,5.512,1.01,103.0,560.0
608,5.512,1.05,104.0,560.0
609,5.512,1.09,102.0,560.0
610,5.512,1.02,104.0,560.0
611,5.512,1.01,106.0,580.0
612,5.512,1.01,102.0,560.0
613,5.512,1.07,102.0,560.0
614,5.512,1.01,99.0,560.0
615,5.516,1.03,102.0,560.0
616,5.512,1.06,103.0,560.0
617,5.512,1.02,105.0,580.0
618,5.512,1.03,105.0,580.0
619,5.512,1.05,103.0,560.0
620,5.512,1.03,100.0,560.0
621,5.508,1.07,100.0,560.0
622,5.512,1.03,105.0,580.0
623,5.512,1.04,103.0,560.0
624,5.512,1.01,105.0,580.0
625,5.512,1.03,103.0,560.0
626,5.512,1.03,107.0,580.0
627,5.512,1.01,103.0,560.0
628,5.512,1.01,105.0,580.0
629,5.512,1.07,103.0,560.0
630,5.512,1.03,103.0,560.0
631,5.512,1.04,103.0,560.0
632,5.512,1.05,109.0,580.0
633,5.512,1.02,102.0,560.0
