Time(s),Bus Voltage(V),Shunt Voltage(mV),Current(mA),Power(mW)
248.0641529560089,5.6,1.06,110.0,620.0
249.06792616844177,5.604,0.91,92.0,520.0
250.0754418373108,5.604,0.93,92.0,520.0
251.07992887496948,5.6,1.06,109.0,620.0
252.08635234832764,5.6,1.07,103.0,580.0
253.09332585334778,5.604,0.95,96.0,520.0
254.09805417060852,5.604,0.95,92.0,520.0
255.10452246665955,5.604,1.04,104.0,580.0
256.1093165874481,5.604,0.95,92.0,520.0
257.11549043655396,5.6,0.91,93.0,520.0
258.1207799911499,5.6,1.06,103.0,580.0
259.1271915435791,5.604,0.91,94.0,520.0
260.13429713249207,5.596,1.08,102.0,560.0
261.13870906829834,5.6,1.06,104.0,580.0
262.14545345306396,5.604,0.91,92.0,520.0
263.15031719207764,5.6,1.1,105.0,580.0
264.1570074558258,5.596,1.04,106.0,580.0
265.164186000824,5.604,0.9,92.0,520.0
266.1683118343353,5.6,1.05,103.0,580.0
267.17517709732056,5.6,0.91,90.0,500.0
268.1792495250702,5.6,0.92,94.0,520.0
269.18613624572754,5.596,1.02,104.0,580.0
270.19057512283325,5.6,0.91,90.0,500.0
271.1975178718567,5.6,0.96,92.0,520.0
272.2044379711151,5.596,1.07,104.0,580.0
273.2092134952545,5.6,0.94,92.0,520.0
274.2154097557068,5.6,0.94,94.0,520.0
275.21987080574036,5.596,1.07,105.0,580.0
276.2271308898926,5.604,0.94,94.0,520.0
277.2338926792145,5.6,0.93,94.0,520.0
278.23835802078247,5.596,1.07,105.0,580.0
279.2454059123993,5.6,0.94,93.0,520.0
280.2493050098419,5.6,0.96,94.0,520.0
281.2565450668335,5.596,1.07,105.0,580.0
282.2614438533783,5.6,0.94,91.0,520.0
283.26836109161377,5.596,1.01,106.0,580.0
284.27452540397644,5.592,1.05,107.0,580.0
285.2794029712677,5.6,0.9,91.0,520.0
286.28573417663574,5.592,1.0,108.0,580.0
287.2909605503082,5.596,1.04,102.0,560.0
288.29739475250244,5.596,0.93,95.0,520.0
289.3042993545532,5.596,0.92,95.0,520.0
290.30827593803406,5.592,1.06,106.0,580.0
291.3153898715973,5.596,1.04,95.0,520.0
292.320188999176,5.592,1.06,103.0,580.0
293.32734632492065,5.592,1.04,107.0,580.0
294.3311822414398,5.596,0.94,96.0,520.0
295.3383984565735,5.596,0.94,93.0,520.0
296.3457899093628,5.592,1.03,104.0,580.0
297.3493549823761,5.596,0.93,91.0,520.0
298.35643315315247,5.592,1.07,101.0,560.0
299.3611419200897,5.588,1.06,104.0,580.0
300.3682281970978,5.6,0.92,89.0,500.0
301.3750021457672,5.596,0.91,93.0,520.0
302.3793239593506,5.592,1.06,105.0,580.0
303.3859918117523,5.596,0.91,94.0,520.0
304.3899841308594,5.596,0.96,94.0,520.0
305.3972029685974,5.588,1.04,104.0,580.0
306.4011826515198,5.596,0.95,95.0,520.0
307.40819478034973,5.6,0.95,91.0,520.0
308.4152092933655,5.592,1.03,104.0,580.0
309.42022371292114,5.588,1.07,107.0,580.0
310.4267394542694,5.596,0.92,93.0,520.0
311.4319055080414,5.592,1.07,105.0,580.0
312.43809485435486,5.596,0.92,92.0,520.0
313.44525957107544,5.592,0.92,92.0,520.0
314.4494888782501,5.592,1.03,101.0,560.0
315.45644879341125,5.596,0.94,95.0,520.0
316.4602620601654,5.592,0.93,109.0,620.0
317.46729135513306,5.588,1.05,107.0,580.0
318.4723017215729,5.592,0.93,91.0,520.0
319.47884464263916,5.592,0.94,93.0,520.0
320.48575735092163,5.588,1.05,107.0,580.0
321.4907531738281,5.592,0.93,97.0,560.0
322.49731063842773,5.588,0.99,112.0,620.0
323.5018651485443,5.588,1.05,102.0,560.0
324.50834441185,5.596,0.92,93.0,520.0
325.51520919799805,5.588,1.06,106.0,580.0
326.5199525356293,5.592,0.99,91.0,520.0
327.526264667511,5.592,0.95,96.0,520.0
328.53121042251587,5.588,1.04,107.0,580.0
329.5380907058716,5.592,1.04,108.0,580.0
330.5452404022217,5.592,0.92,92.0,520.0
331.5496196746826,5.588,1.07,104.0,580.0
332.5557997226715,5.592,0.95,95.0,520.0
333.56043696403503,5.592,0.91,93.0,520.0
334.56723952293396,5.588,1.06,106.0,580.0
335.5718548297882,5.592,0.94,90.0,500.0
336.5794608592987,5.592,0.91,93.0,520.0
337.58537125587463,5.588,1.08,104.0,580.0
338.5901997089386,5.592,0.91,91.0,520.0
339.5975649356842,5.592,0.92,95.0,520.0
340.6011600494385,5.588,1.05,107.0,580.0
341.6081552505493,5.592,0.92,93.0,520.0
342.61329102516174,5.588,0.96,94.0,520.0
343.61981534957886,5.588,1.04,102.0,560.0
344.62626242637634,5.592,0.9,92.0,520.0
345.63075709342957,5.588,1.02,104.0,580.0
346.63751101493835,5.588,1.03,103.0,580.0
347.64240407943726,5.592,0.97,92.0,520.0
348.648720741272,5.592,0.91,91.0,520.0
349.65616965293884,5.584,1.05,103.0,580.0
350.6599426269531,5.592,0.93,97.0,560.0
351.66735672950745,5.588,0.92,103.0,580.0
352.67125272750854,5.584,1.09,106.0,580.0
353.6792161464691,5.588,0.94,89.0,500.0
354.6860382556915,5.588,0.94,92.0,520.0
355.6904311180115,5.584,1.01,105.0,580.0
356.6966464519501,5.588,0.91,95.0,520.0
357.7012782096863,5.588,0.94,107.0,580.0
358.7078444957733,5.584,1.05,108.0,580.0
359.7127914428711,5.588,0.97,94.0,520.0
360.7191786766052,5.588,0.95,98.0,560.0
361.7267978191376,5.584,1.02,109.0,620.0
362.73104214668274,5.584,0.93,106.0,580.0
363.73733496665955,5.584,1.0,107.0,580.0
364.742062330246,5.584,1.04,103.0,580.0
365.74867701530457,5.588,0.94,94.0,520.0
366.75593996047974,5.584,1.04,105.0,580.0
367.7600612640381,5.588,1.04,96.0,520.0
368.7669382095337,5.588,0.96,92.0,520.0
369.7718138694763,5.584,1.1,105.0,580.0
370.77825355529785,5.584,1.07,107.0,580.0
371.7825117111206,5.584,1.03,109.0,620.0
372.78973484039307,5.584,1.02,108.0,580.0
373.7972331047058,5.588,0.92,94.0,520.0
374.80160331726074,5.588,0.94,92.0,520.0
375.8082273006439,5.584,1.08,107.0,580.0
376.81265807151794,5.584,1.01,102.0,560.0
377.8191475868225,5.588,0.95,93.0,520.0
378.8260350227356,5.58,1.03,102.0,560.0
379.8312566280365,5.588,0.93,93.0,520.0
380.8377969264984,5.588,0.95,92.0,520.0
381.8423020839691,5.58,1.03,104.0,580.0
382.84848284721375,5.588,0.91,91.0,520.0
383.856253862381,5.584,0.89,91.0,520.0
384.86051774024963,5.584,1.05,106.0,580.0
385.8671805858612,5.588,0.9,91.0,520.0
386.8712947368622,5.588,0.9,92.0,520.0
387.87810492515564,5.588,0.93,90.0,500.0
388.8833854198456,5.58,1.02,105.0,580.0
389.88928866386414,5.584,0.93,92.0,520.0
390.89654898643494,5.58,1.03,104.0,580.0
391.90049934387207,5.584,0.92,95.0,520.0
392.90772008895874,5.584,0.94,92.0,520.0
393.911883354187,5.584,0.94,103.0,580.0
394.9188983440399,5.58,1.07,103.0,580.0
395.92596650123596,5.58,0.93,94.0,520.0
396.93131256103516,5.58,1.02,103.0,580.0
397.9374213218689,5.58,1.08,104.0,580.0
398.9420404434204,5.58,0.97,95.0,520.0
399.9488606452942,5.576,1.03,108.0,580.0
400.95276522636414,5.58,1.05,105.0,580.0
401.9599392414093,5.584,0.92,92.0,520.0
402.96717953681946,5.58,1.06,101.0,560.0
403.9712281227112,5.576,1.11,101.0,560.0
404.9781885147095,5.584,0.93,89.0,500.0
405.98313188552856,5.58,1.09,108.0,580.0
406.9891998767853,5.58,1.02,106.0,580.0
407.99679946899414,5.58,1.04,103.0,580.0
409.0006444454193,5.58,1.04,104.0,580.0
410.0074350833893,5.584,0.92,94.0,520.0
411.0122468471527,5.584,0.99,93.0,520.0
412.01963996887207,5.576,1.07,108.0,580.0
413.02633142471313,5.58,1.05,91.0,500.0
414.03037881851196,5.584,0.93,93.0,520.0
415.0372643470764,5.58,1.03,104.0,580.0
416.0420722961426,5.584,0.93,92.0,520.0
417.04925513267517,5.58,0.91,94.0,520.0
418.0532178878784,5.576,1.06,104.0,580.0
419.0602729320526,5.584,0.9,93.0,520.0
420.0673096179962,5.584,0.94,95.0,520.0
421.071170091629,5.576,1.04,103.0,580.0
422.07777309417725,5.584,0.94,93.0,520.0
423.0825140476227,5.584,0.92,93.0,520.0
424.0892779827118,5.58,1.05,104.0,580.0
425.09334325790405,5.58,0.93,92.0,520.0
426.1012499332428,5.584,0.91,90.0,500.0
427.1072287559509,5.576,1.07,104.0,580.0
428.11189007759094,5.584,0.94,91.0,500.0
429.11949133872986,5.58,0.94,94.0,520.0
430.1232466697693,5.576,1.04,104.0,580.0
431.1312184333801,5.58,0.92,93.0,520.0
432.13697123527527,5.58,0.94,96.0,520.0
433.1418879032135,5.576,1.03,102.0,560.0
434.14826226234436,5.576,1.05,105.0,580.0
435.15258741378784,5.58,0.93,104.0,580.0
436.15969252586365,5.576,1.05,106.0,580.0
437.1652228832245,5.58,0.94,92.0,520.0
438.17130303382874,5.58,0.92,92.0,520.0
439.1775825023651,5.572,1.02,103.0,580.0
440.1832628250122,5.576,1.04,96.0,520.0
441.1892786026001,5.576,1.05,107.0,580.0
442.19422149658203,5.576,1.09,106.0,580.0
443.200231552124,5.58,0.9,99.0,560.0
444.20805954933167,5.576,0.91,108.0,580.0
445.212051153183,5.576,1.06,97.0,560.0
446.21935772895813,5.576,1.02,90.0,500.0
447.2236747741699,5.572,1.03,106.0,580.0
448.2303831577301,5.576,1.05,105.0,580.0
449.23729705810547,5.58,0.92,99.0,560.0
450.2414367198944,5.576,1.05,106.0,580.0
451.24828243255615,5.58,0.91,92.0,520.0
452.25308990478516,5.58,0.9,93.0,520.0
453.25982093811035,5.572,1.05,102.0,560.0
454.264328956604,5.58,1.06,92.0,520.0
455.2712700366974,5.576,0.94,92.0,520.0
456.2782497406006,5.572,1.05,104.0,580.0
457.2824282646179,5.58,0.93,91.0,500.0
458.2891490459442,5.576,0.9,92.0,520.0
459.29376101493835,5.572,1.03,105.0,580.0
460.30077362060547,5.572,0.95,93.0,520.0
461.3047499656677,5.576,0.93,92.0,520.0
462.3121807575226,5.572,1.03,102.0,560.0
463.31895685195923,5.576,0.9,95.0,520.0
464.32255005836487,5.576,0.93,91.0,500.0
465.33021092414856,5.572,1.04,103.0,580.0
466.3348162174225,5.576,0.94,93.0,520.0
467.34107422828674,5.58,0.94,95.0,520.0
468.34853172302246,5.572,1.05,107.0,580.0
469.35299468040466,5.576,0.91,93.0,520.0
470.35936760902405,5.572,1.04,105.0,580.0
471.3642497062683,5.568,1.05,108.0,580.0
472.37044286727905,5.576,0.9,90.0,500.0
473.37526774406433,5.576,0.94,93.0,520.0
474.38226318359375,5.572,1.04,106.0,580.0
475.38936614990234,5.576,0.93,90.0,500.0
476.3932592868805,5.572,0.92,106.0,580.0
477.40056681632996,5.572,1.07,106.0,580.0
478.4050757884979,5.576,0.94,93.0,520.0
479.4120202064514,5.576,0.93,91.0,500.0
480.41835474967957,5.568,1.03,108.0,580.0
481.42315125465393,5.572,0.91,102.0,560.0
482.4299623966217,5.568,1.05,106.0,580.0
483.43428444862366,5.572,1.04,101.0,560.0
484.4412450790405,5.576,0.9,90.0,500.0
485.44803190231323,5.568,1.0,109.0,620.0
486.452570438385,5.572,1.03,93.0,520.0
487.4592707157135,5.572,0.96,91.0,500.0
488.4632821083069,5.568,1.07,105.0,580.0
489.4703028202057,5.568,1.01,104.0,580.0
490.4752290248871,5.568,0.93,94.0,520.0
491.4822368621826,5.572,1.04,103.0,560.0
492.48927640914917,5.572,0.92,91.0,500.0
493.4931824207306,5.576,0.94,94.0,520.0
494.5002348423004,5.568,1.08,105.0,580.0
495.5049657821655,5.572,1.04,89.0,500.0
496.5113158226013,5.564,1.04,107.0,580.0
497.5183403491974,5.568,1.03,107.0,580.0
498.5223128795624,5.572,0.91,96.0,520.0
499.53017473220825,5.572,0.91,93.0,520.0
500.5342891216278,5.568,1.0,103.0,580.0
501.5412814617157,5.564,1.06,106.0,580.0
502.5452780723572,5.572,0.92,93.0,520.0
503.5521857738495,5.568,1.03,106.0,580.0
504.5590236186981,5.568,1.04,104.0,580.0
505.56398844718933,5.572,0.9,90.0,500.0
506.57028794288635,5.568,1.12,104.0,580.0
507.5751597881317,5.564,1.05,104.0,580.0
508.5824980735779,5.572,0.92,93.0,520.0
509.5888240337372,5.572,0.92,97.0,520.0
510.5938539505005,5.568,1.02,103.0,580.0
511.6004071235657,5.572,0.95,92.0,520.0
512.6050024032593,5.572,0.9,92.0,520.0
513.6112658977509,5.568,1.06,105.0,580.0
514.6186518669128,5.572,0.91,94.0,520.0
515.6230206489563,5.572,0.92,92.0,520.0
516.6298880577087,5.564,1.01,109.0,620.0
517.6347405910492,5.572,0.94,100.0,560.0
518.6406824588776,5.568,0.94,108.0,580.0
519.6455812454224,5.564,1.04,107.0,580.0
520.6518974304199,5.572,0.92,97.0,520.0
521.6592421531677,5.568,0.89,108.0,580.0
522.6632857322693,5.564,1.02,103.0,580.0
523.67023396492,5.572,0.91,92.0,520.0
524.675213098526,5.564,1.08,106.0,580.0
525.6813516616821,5.564,1.04,107.0,580.0
526.6891856193542,5.564,1.06,97.0,520.0
527.6932673454285,5.564,1.05,103.0,560.0
528.7005195617676,5.572,0.93,92.0,520.0
529.7044630050659,5.568,0.92,98.0,560.0
530.7112812995911,5.564,1.06,104.0,580.0
531.7166969776154,5.568,1.07,94.0,520.0
532.7224180698395,5.572,0.97,91.0,500.0
533.7292768955231,5.564,1.02,101.0,560.0
534.7340354919434,5.568,0.96,90.0,500.0
535.741251707077,5.568,0.89,93.0,520.0
536.7451269626617,5.564,1.06,106.0,580.0
537.7518410682678,5.572,0.93,97.0,520.0
538.7587246894836,5.572,0.89,91.0,500.0
539.7632441520691,5.564,1.06,104.0,580.0
540.770277261734,5.568,0.91,92.0,520.0
541.7742218971252,5.568,0.93,91.0,500.0
542.7820601463318,5.56,1.03,103.0,560.0
543.7862713336945,5.568,0.9,92.0,520.0
544.793297290802,5.564,0.94,93.0,520.0
545.799654006958,5.564,1.02,103.0,560.0
546.8042016029358,5.568,0.91,93.0,520.0
547.8116173744202,5.564,0.92,94.0,520.0
548.8158030509949,5.564,1.03,103.0,560.0
549.8224573135376,5.568,0.92,93.0,520.0
550.8297634124756,5.568,0.92,94.0,520.0
551.8339011669159,5.564,1.05,104.0,580.0
552.840268611908,5.564,0.95,93.0,520.0
553.8453800678253,5.564,1.03,102.0,560.0
554.8522899150848,5.56,1.03,105.0,580.0
555.8565547466278,5.568,0.92,91.0,500.0
556.8630805015564,5.564,0.9,90.0,500.0
557.8705968856812,5.56,1.05,103.0,560.0
558.8741228580475,5.56,1.06,104.0,580.0
559.8812611103058,5.56,1.02,107.0,580.0
560.886057138443,5.56,1.03,106.0,580.0
561.8928153514862,5.568,0.91,91.0,500.0
562.8997054100037,5.564,0.96,103.0,560.0
563.9037182331085,5.56,1.05,104.0,580.0
564.9111595153809,5.564,1.06,92.0,520.0
565.915433883667,5.56,1.07,108.0,580.0
566.9224724769592,5.56,1.05,104.0,580.0
567.9293270111084,5.564,0.9,100.0,560.0
568.9333560466766,5.56,1.05,102.0,560.0
569.9404995441437,5.568,0.91,91.0,500.0
570.9453537464142,5.56,0.91,96.0,520.0
571.9514877796173,5.56,1.05,104.0,580.0
572.9560294151306,5.56,1.06,94.0,520.0
573.9634380340576,5.568,0.92,93.0,520.0
