Time(s),Bus Voltage(V),Shunt Voltage(mV),Current(mA),Power(mW)
186.70428109169006,5.652,1.04,104.0,580.0
187.70802927017212,5.656,0.94,96.0,560.0
188.71509957313538,5.652,1.09,106.0,580.0
189.71994161605835,5.652,1.04,106.0,580.0
190.7268226146698,5.656,0.95,93.0,520.0
191.73065185546875,5.652,1.06,110.0,620.0
192.7376413345337,5.656,1.09,93.0,520.0
193.74494409561157,5.656,1.04,94.0,520.0
194.749445438385,5.652,1.07,105.0,580.0
195.7555854320526,5.656,0.94,94.0,520.0
196.76068568229675,5.656,0.96,98.0,560.0
197.76776266098022,5.652,1.07,109.0,620.0
198.7747094631195,5.656,0.96,96.0,560.0
199.77867126464844,5.656,0.94,95.0,520.0
200.7858555316925,5.652,1.06,104.0,580.0
201.79021549224854,5.656,0.97,92.0,520.0
202.79629039764404,5.656,0.93,96.0,560.0
203.80151438713074,5.652,1.03,102.0,580.0
204.80810284614563,5.656,0.94,98.0,560.0
205.81530213356018,5.652,0.94,93.0,520.0
206.8189024925232,5.652,1.08,108.0,620.0
207.82627248764038,5.656,0.93,95.0,520.0
208.83061027526855,5.656,0.91,94.0,520.0
209.83723664283752,5.652,1.09,110.0,620.0
210.8448884487152,5.656,0.92,94.0,520.0
211.84880304336548,5.652,0.95,94.0,520.0
212.8557949066162,5.652,1.05,104.0,580.0
213.86013984680176,5.656,0.94,94.0,520.0
214.86693453788757,5.656,0.95,97.0,560.0
215.8711380958557,5.648,1.05,104.0,580.0
216.87867379188538,5.652,0.97,95.0,520.0
217.88573098182678,5.652,0.92,96.0,560.0
218.88960671424866,5.648,1.03,105.0,580.0
219.89656901359558,5.652,0.95,96.0,560.0
220.90133500099182,5.652,1.05,105.0,580.0
221.90840005874634,5.652,1.07,104.0,580.0
222.91470623016357,5.652,0.95,95.0,520.0
223.91869401931763,5.652,0.95,103.0,580.0
224.92613530158997,5.648,1.09,107.0,580.0
225.93027877807617,5.652,0.94,97.0,560.0
226.93775391578674,5.648,1.11,107.0,580.0
227.9423005580902,5.648,1.05,106.0,580.0
228.94922137260437,5.656,0.96,104.0,580.0
229.95549941062927,5.644,1.11,106.0,580.0
230.96051597595215,5.648,1.08,105.0,580.0
231.9667103290558,5.648,0.94,93.0,520.0
232.97166061401367,5.644,1.06,107.0,580.0
233.97856879234314,5.652,1.09,98.0,560.0
234.98534178733826,5.652,0.96,97.0,560.0
235.9895739555359,5.648,1.1,107.0,580.0
236.9965238571167,5.652,0.97,96.0,560.0
238.00136256217957,5.652,0.95,94.0,520.0
239.00824403762817,5.648,1.05,106.0,580.0
240.01525378227234,5.648,1.05,98.0,560.0
241.01962280273438,5.648,0.94,96.0,560.0
242.02560353279114,5.648,1.05,110.0,620.0
243.03007221221924,5.648,0.95,94.0,520.0
244.03780961036682,5.648,0.95,93.0,520.0
245.0416760444641,5.644,1.04,106.0,580.0
246.0487949848175,5.648,0.94,94.0,520.0
247.05581521987915,5.644,1.1,108.0,620.0
248.06017637252808,5.644,1.04,105.0,580.0
249.0672435760498,5.652,0.93,94.0,520.0
250.07180523872375,5.648,0.93,96.0,560.0
251.07794976234436,5.644,1.05,108.0,620.0
252.09332871437073,5.644,1.02,104.0,580.0
253.0898575782776,5.652,0.91,92.0,520.0
254.09658694267273,5.644,1.05,104.0,580.0
255.10066771507263,5.648,0.97,92.0,520.0
256.10749411582947,5.652,0.92,92.0,520.0
257.11222767829895,5.644,1.09,106.0,580.0
258.1188943386078,5.644,1.07,107.0,580.0
