Time,Bus Voltage(V),Shunt Voltage(mV),Current(mA),Power(mW)
248.07430863380432,5.728,1.12,111.0,620.0
249.08031749725342,5.736,0.98,100.0,580.0
250.08752703666687,5.728,1.12,114.0,660.0
251.09181237220764,5.732,1.08,96.0,560.0
252.09931254386902,5.736,0.99,100.0,580.0
253.10421657562256,5.732,1.13,107.0,620.0
254.11004996299744,5.728,1.06,108.0,620.0
255.11675834655762,5.728,1.1,108.0,620.0
256.1223154067993,5.732,1.1,106.0,620.0
257.12807416915894,5.732,0.98,95.0,560.0
258.1320424079895,5.732,0.97,97.0,560.0
259.13908410072327,5.728,1.1,108.0,620.0
260.1461606025696,5.728,1.07,108.0,620.0
261.15158557891846,5.732,0.96,96.0,560.0
262.1577396392822,5.728,1.08,108.0,620.0
263.1639268398285,5.732,0.98,96.0,560.0
264.16941356658936,5.732,0.95,97.0,560.0
265.1737322807312,5.728,1.1,109.0,620.0
266.18025183677673,5.732,0.95,98.0,560.0
267.1875500679016,5.732,0.94,98.0,560.0
268.1926555633545,5.724,1.05,112.0,660.0
269.1992530822754,5.732,0.97,98.0,560.0
270.20436930656433,5.732,0.98,94.0,520.0
271.21053075790405,5.724,1.14,113.0,660.0
272.2171115875244,5.732,0.97,100.0,560.0
273.2207176685333,5.728,0.98,112.0,660.0
274.2286560535431,5.724,1.07,112.0,660.0
275.23454689979553,5.736,0.98,96.0,560.0
276.23961353302,5.724,1.08,111.0,620.0
277.2469971179962,5.724,1.08,98.0,560.0
278.25160813331604,5.732,1.06,95.0,560.0
279.25843954086304,5.724,1.1,117.0,660.0
280.2634346485138,5.724,1.07,99.0,620.0
281.26943612098694,5.732,1.0,98.0,560.0
282.27630734443665,5.732,0.97,98.0,560.0
283.28142857551575,5.724,1.08,113.0,660.0
284.2874119281769,5.728,1.01,96.0,560.0
285.29243183135986,5.728,1.08,107.0,620.0
286.2991235256195,5.724,1.14,109.0,620.0
287.305460691452,5.728,1.0,98.0,560.0
288.311331987381,5.728,0.97,95.0,560.0
289.317608833313,5.72,1.09,112.0,660.0
290.3223514556885,5.728,0.96,97.0,560.0
291.32841324806213,5.728,1.09,106.0,620.0
292.3342356681824,5.724,1.12,111.0,620.0
293.34031796455383,5.728,0.97,96.0,560.0
294.3469409942627,5.728,0.95,99.0,560.0
295.3521683216095,5.72,1.13,111.0,620.0
296.35813879966736,5.728,0.96,97.0,560.0
297.3634395599365,5.716,1.12,109.0,620.0
298.3700051307678,5.724,1.07,108.0,620.0
299.3762032985687,5.728,0.98,106.0,620.0
300.3801805973053,5.72,1.15,108.0,620.0
301.3881356716156,5.72,1.05,108.0,620.0
302.393182516098,5.728,0.97,97.0,560.0
303.39973878860474,5.72,1.11,112.0,660.0
304.4061598777771,5.728,1.1,97.0,560.0
305.40964245796204,5.724,0.97,99.0,560.0
306.41723585128784,5.72,1.08,110.0,620.0
307.4232530593872,5.728,0.97,95.0,560.0
308.429324388504,5.724,0.95,96.0,560.0
309.43537187576294,5.72,1.09,112.0,660.0
310.44126176834106,5.724,0.98,97.0,560.0
311.4472351074219,5.724,0.96,99.0,560.0
312.452121257782,5.72,1.09,107.0,620.0
313.4590563774109,5.724,0.99,98.0,560.0
314.4648690223694,5.724,0.95,97.0,560.0
315.4697616100311,5.72,1.08,109.0,620.0
316.4762854576111,5.724,1.0,98.0,560.0
317.4822528362274,5.72,1.07,109.0,620.0
318.4880712032318,5.716,1.08,107.0,620.0
319.4923129081726,5.724,1.02,98.0,560.0
